timestamp,is_touching
1630680363529,1
1630680363610,1
1630680363704,1
1630680363797,1
1630680363907,1
1630680364028,1
1630680364143,1
1630680364221,1
1630680364331,1
1630680364439,1
1630680364488,1
1630680364661,1
1630680364756,1
1630680364817,1
1630680364925,1
1630680365020,1
1630680365116,1
1630680365257,1
1630680365352,1
1630680365450,1
1630680365524,1
1630680365619,1
1630680365714,1
1630680365887,1
1630680365949,1
1630680366043,1
1630680366129,1
1630680366244,1
1630680366322,1
1630680366494,1
1630680366556,1
1630680366668,1
1630680366761,1
1630680366856,1
1630680366950,1
1630680367110,1
1630680367173,1
1630680367267,1
1630680367376,1
1630680367438,1
1630680367563,1
1630680367695,1
1630680367789,1
1630680367883,1
1630680367976,1
1630680368101,1
1630680368148,1
1630680368309,1
1630680368404,1
1630680368513,1
1630680368575,1
1630680368669,1
1630680368763,1
1630680368935,1
1630680368997,1
1630680369091,1
1630680369200,1
1630680369297,1
1630680369406,1
1630680369531,1
1630680369625,1
1630680369734,1
1630680369828,1
1630680369906,1
1630680369984,1
1630680370125,1
1630680370250,1
1630680370328,1
1630680370432,1
1630680370529,1
1630680370592,1
1630680370760,1
1630680370869,1
1630680371010,1
1630680371025,1
1630680371166,1
1630680371228,1
1630680371353,1
1630680371494,1
1630680371525,1
1630680371635,1
1630680371760,1
1630680371853,1
1630680371963,1
1630680372056,1
1630680372166,1
1630680372260,1
1630680372338,1
1630680372431,1
1630680372556,1
1630680372653,1
1630680372762,1
1630680372856,1
1630680372950,1
1630680373028,1
1630680373153,1
1630680373294,1
1630680373372,1
1630680373450,1
1630680373559,1
1630680373653,1
1630680373793,1
1630680373903,1
1630680373996,1
1630680374059,1
1630680374168,1
1630680374262,1
1630680374403,1
1630680374496,1
1630680374590,1
1630680374653,1
1630680374793,1
1630680374856,1
1630680375043,1
1630680375106,1
1630680375199,1
1630680375309,1
1630680375387,1
1630680375480,1
1630680375637,1
1630680375762,1
1630680375793,1
1630680375902,1
1630680375996,1
