timestamp,TP9,AF7,AF8,TP10
1630679883218,1.0,1.0,1.0,1.0
1630679883313,1.0,1.0,1.0,1.0
1630679883405,1.0,1.0,1.0,1.0
1630679883486,1.0,1.0,1.0,1.0
1630679883676,1.0,1.0,1.0,1.0
1630679883738,1.0,1.0,1.0,1.0
1630679883865,1.0,1.0,1.0,1.0
1630679883929,1.0,1.0,1.0,1.0
1630679884055,1.0,1.0,1.0,1.0
1630679884153,1.0,1.0,1.0,1.0
1630679884390,1.0,1.0,1.0,1.0
1630679884405,1.0,1.0,1.0,1.0
1630679884437,1.0,1.0,1.0,1.0
1630679884596,1.0,1.0,1.0,1.0
1630679884688,1.0,1.0,1.0,1.0
1630679884736,1.0,1.0,1.0,1.0
1630679884874,1.0,1.0,1.0,1.0
1630679884969,1.0,1.0,1.0,1.0
1630679885098,1.0,1.0,1.0,1.0
1630679885129,1.0,1.0,1.0,1.0
1630679885274,1.0,1.0,1.0,1.0
1630679885289,1.0,1.0,1.0,1.0
1630679885497,1.0,1.0,1.0,1.0
1630679885677,1.0,1.0,1.0,1.0
1630679885678,1.0,1.0,1.0,1.0
1630679885789,1.0,1.0,1.0,1.0
1630679885868,1.0,1.0,1.0,1.0
1630679885993,1.0,1.0,1.0,1.0
1630679886086,1.0,1.0,1.0,1.0
1630679886322,1.0,1.0,1.0,1.0
1630679886335,1.0,1.0,1.0,1.0
1630679886400,1.0,1.0,1.0,1.0
1630679886509,1.0,1.0,1.0,1.0
1630679886540,1.0,1.0,1.0,1.0
1630679886713,1.0,1.0,1.0,1.0
1630679886762,1.0,1.0,1.0,1.0
1630679886851,1.0,1.0,1.0,1.0
1630679887025,1.0,1.0,1.0,1.0
1630679887089,1.0,1.0,1.0,1.0
1630679887202,1.0,1.0,1.0,1.0
1630679887297,1.0,1.0,1.0,1.0
1630679887360,1.0,1.0,1.0,1.0
1630679887535,1.0,1.0,1.0,1.0
1630679887630,1.0,1.0,1.0,1.0
1630679887741,1.0,1.0,1.0,1.0
1630679887868,1.0,1.0,1.0,1.0
1630679887965,1.0,1.0,1.0,1.0
1630679888065,1.0,1.0,1.0,1.0
1630679888080,1.0,1.0,1.0,1.0
1630679888160,1.0,1.0,1.0,1.0
1630679888289,1.0,1.0,1.0,1.0
1630679888465,1.0,1.0,1.0,1.0
1630679888565,1.0,1.0,1.0,1.0
1630679888630,1.0,1.0,1.0,1.0
1630679888726,1.0,1.0,1.0,1.0
1630679888840,1.0,1.0,1.0,1.0
1630679889073,1.0,1.0,1.0,1.0
1630679889215,1.0,1.0,1.0,1.0
1630679889376,1.0,1.0,1.0,1.0
1630679889409,1.0,1.0,1.0,1.0
1630679889504,1.0,1.0,1.0,1.0
1630679889565,1.0,1.0,1.0,1.0
1630679889596,1.0,1.0,1.0,1.0
1630679889649,1.0,1.0,1.0,1.0
1630679889745,1.0,1.0,1.0,1.0
1630679889963,1.0,1.0,1.0,1.0
1630679890077,1.0,1.0,1.0,1.0
1630679890108,1.0,1.0,1.0,1.0
1630679896172,4.0,4.0,4.0,4.0
1630679896265,4.0,4.0,4.0,4.0
1630679896360,4.0,4.0,4.0,4.0
1630679896440,4.0,4.0,4.0,4.0
1630679896552,4.0,4.0,4.0,4.0
1630679896707,4.0,4.0,4.0,4.0
1630679896757,4.0,4.0,4.0,4.0
1630679896886,4.0,4.0,4.0,4.0
1630679896981,4.0,4.0,4.0,4.0
1630679897046,4.0,4.0,4.0,4.0
1630679897141,4.0,4.0,4.0,4.0
1630679897286,4.0,4.0,4.0,4.0
1630679897396,4.0,4.0,4.0,4.0
1630679897473,4.0,4.0,4.0,4.0
1630679897580,4.0,4.0,4.0,4.0
1630679897688,4.0,4.0,4.0,4.0
1630679897753,4.0,4.0,4.0,4.0
1630679897913,4.0,4.0,4.0,4.0
1630679898009,4.0,4.0,4.0,4.0
1630679898073,2.0,1.0,1.0,2.0
1630679898184,2.0,1.0,1.0,2.0
1630679898264,2.0,1.0,1.0,2.0
